log_text,category,severity,impact_scope,user_count,affected_services_count,service_scope,resolution
User unable to login to VPN after password reset,Authentication,Medium,Single User,1,1,Single Service,Reset password and verify VPN access policy
Employee cannot complete MFA during login to payroll portal,Authentication,Medium,Single User,1,1,Single Service,Check MFA enrollment and unlock account
One contractor account is locked after repeated login attempts,Authentication,Low,Single User,1,1,Single Service,Unlock account and verify credentials
User reports sign in failure on finance dashboard,Authentication,Medium,Single User,1,1,Single Service,Validate SSO mapping and reissue session
Single employee cannot access SSO portal after password update,Authentication,Medium,Single User,1,1,Single Service,Sync directory credentials and retest login
Remote worker unable to authenticate into HR application,Authentication,Medium,Single User,1,1,Single Service,Review IdP logs and reset user auth factors
MFA push approval not arriving for one employee,Authentication,Low,Single User,1,1,Single Service,Check MFA notification channel and device registration
One new hire cannot sign in to onboarding portal,Authentication,Low,Single User,1,1,Single Service,Verify account provisioning and role assignment

Multiple users unable to login due to repeated MFA failures,Authentication,High,Multiple Users,8,1,Single Service,Check MFA service health and unlock affected accounts
Several employees cannot access SSO for expense application,Authentication,High,Multiple Users,12,1,Single Service,Inspect identity provider logs and application trust settings
VPN authentication failures reported by remote sales staff,Authentication,High,Multiple Users,15,1,Single Service,Review VPN gateway auth integration and certificate validity
Many users unable to sign in to intranet after policy update,Authentication,High,Multiple Users,18,1,Single Service,Rollback authentication policy and validate SSO rules
Login failures reported across payroll users after MFA change,Authentication,High,Multiple Users,10,2,Multiple Services,Check MFA configuration and dependent identity services
Several users cannot authenticate to both HR and payroll apps,Authentication,High,Multiple Users,14,2,Multiple Services,Inspect shared IdP outage and validate federation settings

All employees unable to access SSO portal,Authentication,Critical,System Wide,450,4,Core Platform,Fail over identity provider and restore core authentication platform
Organization wide authentication outage affecting all internal apps,Authentication,Critical,System Wide,600,5,Core Platform,Restore IdP service and incident bridge with platform team
Corporate login platform unavailable across VPN email and HR tools,Authentication,Critical,System Wide,520,4,Core Platform,Recover authentication cluster and validate dependency health
Company wide MFA outage blocking all employee logins,Authentication,Critical,System Wide,700,4,Core Platform,Rollback MFA change and restore authentication service

User cannot reach internal file share from workstation,Network,Low,Single User,1,1,Single Service,Check local network adapter and DNS settings
One employee reports packet loss on VPN session,Network,Medium,Single User,1,1,Single Service,Validate VPN tunnel stability and endpoint connectivity
Single user cannot resolve internal hostnames,Network,Medium,Single User,1,1,Single Service,Flush DNS cache and verify DNS server response
Remote employee cannot connect to office Wi-Fi guest portal,Network,Low,Single User,1,1,Single Service,Check wireless credentials and captive portal configuration
User reports intermittent network drops during Teams call,Network,Low,Single User,1,1,Single Service,Inspect local NIC and network path quality
One workstation cannot access internet after IP renewal,Network,Low,Single User,1,1,Single Service,Review DHCP assignment and local routing

Branch office internet connection down affecting all users,Network,Critical,Department Wide,65,2,Multiple Services,Check ISP outage and switch to backup link
High packet loss observed across WAN link for finance team,Network,High,Department Wide,40,2,Multiple Services,Inspect WAN circuit errors and provider status
DNS resolution failing for internal services in one office,Network,High,Department Wide,55,2,Multiple Services,Validate DNS server health and replication
VPN users reporting disconnects during peak hours,Network,High,Multiple Users,20,1,Single Service,Check VPN gateway load and session limits
Firewall rule change blocking outbound traffic for multiple teams,Network,High,Department Wide,75,3,Multiple Services,Review firewall policy and restore allowed routes
Network latency spike affecting ERP and CRM traffic,Network,High,Department Wide,48,2,Multiple Services,Analyze route congestion and prioritize business traffic

Corporate WAN outage impacting all regional offices,Network,Critical,System Wide,800,4,Core Platform,Engage network operations and fail over core WAN
Core DNS outage affecting access to multiple internal platforms,Network,Critical,System Wide,550,4,Core Platform,Restore DNS cluster and reroute name resolution
Enterprise firewall failure disrupting internet and VPN access,Network,Critical,System Wide,620,4,Core Platform,Recover firewall pair and validate external connectivity
Company wide network instability impacting email VPN and ERP,Network,Critical,System Wide,900,5,Core Platform,Stabilize backbone routing and isolate failing edge devices

Azure VM not responding to SSH requests,Infrastructure,High,Single User,1,1,Single Service,Check VM power state NSG rules and guest agent
Single application server CPU usage exceeded 95 percent,Infrastructure,Medium,Single User,1,1,Single Service,Inspect workload and right size compute resources
Disk space above 90 percent on one database node,Infrastructure,High,Single User,1,1,Single Service,Clear unused files and extend storage if needed
One Linux host rebooted unexpectedly overnight,Infrastructure,Medium,Single User,1,1,Single Service,Review system logs and scheduled tasks
Single VM shows memory exhaustion after deployment,Infrastructure,Medium,Single User,1,1,Single Service,Analyze process memory leak and restart service
One storage volume became read only on backup server,Infrastructure,High,Single User,1,1,Single Service,Check disk health and remount storage safely

Two application servers unhealthy behind load balancer,Infrastructure,High,Multiple Users,16,2,Multiple Services,Replace unhealthy instances and inspect deployment changes
Cluster node failure affecting web and API services,Infrastructure,High,Multiple Users,22,2,Multiple Services,Rebalance traffic and restore failed cluster node
Storage latency spike impacting reporting and batch jobs,Infrastructure,High,Department Wide,35,2,Multiple Services,Inspect storage backend performance and IOPS saturation
Hypervisor issue affecting several virtual machines,Infrastructure,High,Department Wide,42,3,Multiple Services,Migrate VMs and review host hardware alerts
Multiple servers running out of memory across app tier,Infrastructure,High,Department Wide,30,3,Multiple Services,Scale application tier and analyze memory consumption
Patch deployment caused service restarts on multiple hosts,Infrastructure,High,Multiple Users,18,2,Multiple Services,Rollback patch and validate host stability

Primary compute cluster unavailable across production services,Infrastructure,Critical,System Wide,500,4,Core Platform,Recover cluster control plane and restore production nodes
Data center power event impacted core compute environment,Infrastructure,Critical,System Wide,1000,5,Core Platform,Fail over workloads and coordinate facility recovery
Shared storage failure affecting application and database tiers,Infrastructure,Critical,System Wide,650,4,Core Platform,Restore SAN connectivity and remount dependent systems
Virtualization platform outage impacting all hosted services,Infrastructure,Critical,System Wide,720,5,Core Platform,Recover hypervisor platform and prioritize critical workloads

Application throwing 500 internal server error for one user workflow,Application,Medium,Single User,1,1,Single Service,Review application logs and stack trace for failed request
Single user unable to submit online reimbursement form,Application,Low,Single User,1,1,Single Service,Check frontend validation and backend submission endpoint
One mobile app session crashes during profile update,Application,Medium,Single User,1,1,Single Service,Inspect crash logs and recent mobile release changes
User sees blank page on analytics dashboard,Application,Medium,Single User,1,1,Single Service,Review frontend assets and browser console errors
One employee cannot generate invoice PDF from portal,Application,Medium,Single User,1,1,Single Service,Check report generation service and template rendering
Single request fails with 502 on internal app,Application,Medium,Single User,1,1,Single Service,Inspect upstream service health and reverse proxy logs

Several users unable to submit timesheets after release,Application,High,Multiple Users,9,1,Single Service,Rollback release or patch validation issue
Background job failure delaying notifications for multiple users,Application,High,Multiple Users,14,2,Multiple Services,Inspect scheduler logs and retry failed jobs
API regression affecting web and mobile checkout flows,Application,High,Department Wide,28,2,Multiple Services,Review deployment diff and restore stable API version
Frontend outage preventing multiple staff from accessing dashboard,Application,High,Multiple Users,16,1,Single Service,Rebuild frontend bundle and validate CDN propagation
Search function failing across CRM and support portal,Application,High,Department Wide,36,2,Multiple Services,Inspect shared search service and application integration
Users reporting errors in both approval and reporting modules,Application,High,Department Wide,44,2,Multiple Services,Check shared app dependencies and module level exceptions

Core business application unavailable company wide,Application,Critical,System Wide,400,4,Core Platform,Activate incident response and restore primary application stack
